"STATION","DIVISION","all","LAT","LON","geo_type","State_FIPS","County_FIPS","Tract_FIPS","f_pop","all_pop","p_emp_info","p_f_pop","p_emp_prof","p_75_100k","p_over_100k"
"CHAUNCEY ST","BMT",296308097,40.682892,-73.910454,"establishment","36","047","036900","2684","5907",0.048820852296235,0.454376163873371,0.0496483243690525,0.071,0.029
"CHRISTOPHER ST","IRT",1773229683,40.7335784,-74.0028728,"establishment","36","061","007300","2787","5887",0.0905679259444583,0.473416001358926,0.341005754315737,0.104,0.524
"CHRISTOPHER ST","PTH",43638013,40.7330508,-74.0070578,"establishment","36","061","007500","1936","3689",0.103906564639549,0.524803469775007,0.209021345147,0.134,0.664
"CHURCH AV","BMT",3725917116,40.6495233,-73.9632839,"establishment","36","047","050600","2772","5653",0.044043321299639,0.490359101362109,0.0667870036101083,0.101,0.114
"CHURCH AV","IND",7336774550,40.6495233,-73.9632839,"establishment","36","047","050600","2772","5653",0.044043321299639,0.490359101362109,0.0667870036101083,0.101,0.114
"CHURCH AV","IRT",40134160600,40.6495233,-73.9632839,"establishment","36","047","050600","2772","5653",0.044043321299639,0.490359101362109,0.0667870036101083,0.101,0.114
"CITY / BUS","PTH",149509099,40.7569006,-73.9902798,"bus_station","36","061","011500","1523","3779",0.0526714664645699,0.403016671077005,0.151951496779083,0.14,0.485
"CITY HALL","BMT",13787082059,40.7135245,-74.0067101,"establishment","36","061","003100","1437","2659",0.0401125967628431,0.540428732606243,0.200562983814215,0.069,0.673
"CLARK ST","IRT",1107435534,40.697468,-73.993088,"establishment","36","047","000501","2566","4419",0.0878850102669405,0.580674360715094,0.242299794661191,0.149,0.634
"CLASSON AV","IND",2146138349,40.6888172,-73.9598574,"establishment","36","047","023300","3031","5252",0.0775524724297403,0.577113480578827,0.12059765208111,0.151,0.222
"CLEVELAND ST","BMT",448605621,40.679947,-73.884636,"establishment","36","047","116800","1094","2012",0.00513347022587269,0.543737574552684,0.0657084188911704,0.117,0.057
"CLINTON-WASH AV","IND",7382650813,40.6880915,-73.9675499,"establishment","36","047","019700","1865","3615",0.14271701814615,0.515905947441217,0.19127023050515,0.236,0.404
"CONEY IS-STILLW","BMT",27918692590,40.6136033,-73.9631313,"route","36","047","044200","1562","2950",0.0170940170940171,0.529491525423729,0.0607787274453941,0.08,0.376
"CORTELYOU RD","BMT",472290379,40.6412697,-73.9639694,"establishment","36","047","052000","2271","4297",0.0680728667305849,0.528508261577845,0.0642377756471716,0.088,0.203
"CORTLANDT ST","BMT",107099982214,40.7110056,-74.010763,"establishment","36","061","001300","2600","4639",0.0423800168397418,0.560465617589998,0.311535223126579,0.16,0.592
"COURT SQ","IND",112979255506,40.7467885,-73.944548,"establishment","36","081","001901",NA,NA,NA,NA,NA,NA,NA
